idx,note,octave,f0_hz,vib_len_mm,tension_N,material
0,A,0,27.5,1455.1,147.5,wire
1,B,0,30.868,1354.5,153.7,wire
2,C,1,32.703,1306.8,159.7,wire
3,D,1,36.708,1216.5,172.6,wire
4,E,1,41.203,1132.4,185.5,wire
5,F,1,43.654,1092.6,192.0,wire
6,G,1,48.999,1017.1,204.9,wire
7,A,1,55.0,946.8,217.5,wire
8,B,1,61.735,881.3,230.1,wire
9,C,2,65.406,850.3,236.0,wire
10,D,2,73.416,791.5,241.7,wire
11,E,2,82.407,736.8,247.5,wire
12,F,2,87.307,710.9,250.4,wire
13,G,2,97.999,661.8,256.2,wire
14,A,2,110.0,616.0,258.2,gut-or-nylon-low
15,B,2,123.471,573.4,260.2,gut-or-nylon-low
16,C,3,130.813,553.3,261.3,gut-or-nylon-low
17,D,3,146.832,515.0,255.5,gut-or-nylon-low
18,E,3,164.814,479.4,249.6,gut-or-nylon-low
19,F,3,174.614,462.6,246.7,gut-or-nylon-low
20,G,3,195.998,430.6,240.8,gut-or-nylon-low
21,A,3,220.0,400.8,230.6,gut-or-nylon-low
22,B,3,246.942,373.1,220.4,gut-or-nylon-low
23,C,4,261.626,360.0,215.3,gut-or-nylon-mid
24,D,4,293.665,335.1,210.8,gut-or-nylon-mid
25,E,4,329.628,312.0,206.4,gut-or-nylon-mid
26,F,4,349.228,301.0,204.2,gut-or-nylon-mid
27,G,4,391.995,280.2,199.8,gut-or-nylon-mid
28,A,4,440.0,260.8,193.6,gut-or-nylon-mid
29,B,4,493.883,242.8,187.5,gut-or-nylon-mid
30,C,5,523.251,234.2,184.4,gut-or-nylon-mid
31,D,5,587.33,218.1,178.6,gut-or-nylon-mid
32,E,5,659.255,203.0,172.7,gut-or-nylon-mid
33,F,5,698.456,195.8,169.8,gut-or-nylon-mid
34,G,5,783.991,182.3,163.9,gut-or-nylon-mid
35,A,5,880.0,169.7,159.8,gut-or-nylon-mid
36,B,5,987.767,158.0,155.7,gut-or-nylon-mid
37,C,6,1046.502,152.4,153.7,nylon-high
38,D,6,1174.659,141.9,149.3,nylon-high
39,E,6,1318.51,132.1,144.9,nylon-high
40,F,6,1396.913,127.4,142.7,nylon-high
41,G,6,1567.982,118.6,138.3,nylon-high
42,A,6,1760.0,110.4,132.2,nylon-high
43,B,6,1975.533,102.8,126.0,nylon-high
44,C,7,2093.005,99.2,123.0,nylon-high
45,D,7,2349.318,92.3,116.8,nylon-high
46,E,7,2637.02,85.9,110.7,nylon-high
47,F,7,2793.826,82.9,108.0,nylon-high
48,G,7,3135.963,77.2,102.7,nylon-high
